answer,qid
in a lair,fables-06-1
"The Mouse, terrified, piteously entreated him to spare its life.",fables-06-2
"The idea of so insignificant a creature ever being able to do anything for him amused the Lion so much that he laughed aloud, and good-humouredly let it go.",fables-06-3
in a net which had been spread for game,fables-06-4
the Lion,fables-06-5
The lion awaked because a mouse ran into the face of the lion.,fables-06-6
A trapper,fables-06-7
The lion,fables-06-8
The mouse immediately began gnawing the rope of the net with the tooth of the mouse.,fables-06-9
A Lion asleep in his lair was waked up by a Mouse running over his face.,fables-06-10
A trapper spread some net in order to catch a big game.,fables-06-11
The mouse,fables-06-12
The mouse recognized the voice of the lion.,fables-06-13
"One day the Lion got entangled in a net which had been spread for game by some hunters, and the Mouse heard and recognised his roars of anger and ran to the spot.",fables-06-14
"Without more ado it set to work to gnaw the ropes with its teeth, and succeeded before long in setting the Lion free.",fables-06-15
A trapper,fables-06-16
The mouse,fables-06-17
The lion began attacking the mouse.,fables-06-18
The lion,fables-06-19
The lion was sleeping in a lair.,fables-06-20
The lion lost temper and seized the mouse with the paw of the lion.,fables-06-21
The lion lost temper and seized the mouse with the paw of the lion.,fables-06-22
"Without more ado it set to work to gnaw the ropes with its teeth, and succeeded before long in setting the Lion free.",fables-06-23
"Without more ado it set to work to gnaw the ropes with its teeth, and succeeded before long in setting the Lion free.",fables-06-24
The mouse,fables-06-25
The lion awaked because a mouse ran into the face of the lion.,fables-06-26
The lion lost temper and seized the mouse with the paw of the lion.,fables-06-27
The lion was sleeping in a lair.,fables-06-28
There once was a lion.,fables-06-29
The mouse heard that the lion was roaring with anger.,fables-06-30
Louisiana Louisiana,blogs-03-1
"Here's what happened to me and my family:
We watched the storm moving in all of last weekend on the Weather Channel and local news.",blogs-03-2
Winds started kicking up.,blogs-03-3
President Bush,blogs-03-4
"Once, storm was occurring in Louisiana.",blogs-03-5
to a store named Home Depot in order to purchase a portable generator,blogs-03-6
An area of a neighborhood of the narrator had a large group of pine trees and had a group of oak trees.,blogs-03-7
The narrator began to be nervous because it owned a group of trees and near the house of the narrator.,blogs-03-8
to the house of the parent of the narrator,blogs-03-9
The narrator,blogs-03-10
An area of a neighborhood of the narrator,blogs-03-11
The tree split apart and fell on the yard of a neighbor.,blogs-03-12
The narrator,blogs-03-13
"The narrator began to be concerned because -- if the first tree were to later fall, and were to later fall on the house of the narrator -- the house of the narrator would have begun to be damaged, and the family of the narrator would begin to be wounded.",blogs-03-14
"My wife, our five children, and our dog, stayed in an area of the home where we felt safest.",blogs-03-15
The narrator began to be nervous because it owned a group of trees and near the house of the narrator.,blogs-03-16
The narrator purchased an important group of things.,blogs-03-17
The narrator,blogs-03-18
"Once, storm was occurring in Louisiana.",blogs-03-19
The narrator,blogs-03-20
"Here's what happened to me and my family:
We watched the storm moving in all of last weekend on the Weather Channel and local news.",blogs-03-21
"About 12:30pm, I was standing on my back patio when I watched a large tree split in two and fall in my neighbor's yard.",blogs-03-22
"The narrator began to be concerned because -- if the first tree were to later fall, and were to later fall on the house of the narrator -- the house of the narrator would have begun to be damaged, and the family of the narrator would begin to be wounded.",blogs-03-23
on a patio,blogs-03-24
The tree,blogs-03-25
The narrator,blogs-03-26
The narrator,blogs-03-27
"The narrator began to be concerned because -- if the first tree were to later fall, and were to later fall on the house of the narrator -- the house of the narrator would have begun to be damaged, and the family of the narrator would begin to be wounded.",blogs-03-28
The narrator,blogs-03-29
The narrator,blogs-03-30
"The group of friends of the cabinet of a governor named Jindal restored order, and the narrator had the group of friends of the cabinet of Jindal.",blogs-03-31
President Bush,blogs-03-32
An oven broke because the broiler of the oven activated.,blogs-06-1
The oven scorched a group of treats and created some fire.,blogs-06-2
The husband of the narrator,blogs-06-3
The husband of the narrator quickly shut the door of the oven in order to prevent the fire spreading.,blogs-06-4
we,blogs-06-5
The oven malfunctioned... it was supposed to be baking at 350 degrees but somehow broiler came on and got stuck??...,blogs-06-6
I ran and got a fire extinguisher.,blogs-06-7
Luckily the fire extinguisher worked but our stove was toast.,blogs-06-8
"Since then we have been using a plug-in burner, griddle, and counter top oven.",blogs-06-9
An oven broke because the broiler of the oven activated.,blogs-06-10
to the ceiling of the house,blogs-06-11
The fire ascended to the ceiling of the house.,blogs-06-12
The husband of the narrator and the narrator used some griddle and used a toaster oven.,blogs-06-13
So excited about my new range I ordered a few days ago.,blogs-06-14
my husband went to get a batch of cookies and found them in flames.,blogs-06-15
The fire ascended to the ceiling of the house.,blogs-06-16
The husband of the narrator,blogs-06-17
An oven broke because the broiler of the oven activated.,blogs-06-18
So excited about my new range I ordered a few days ago.,blogs-06-19
Nothing Nothing,blogs-06-20
The husband of a narrator who owned a house and owned the oven attempted for the husband of the narrator to retrieve the group of treats and discovered that the oven had created the fire.,blogs-06-21
The husband of a narrator who owned a house and owned the oven attempted for the husband of the narrator to retrieve the group of treats and discovered that the oven had created the fire.,blogs-06-22
on a branch of a tree with a piece of cheese in her beak,fables-01-1
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.,fables-01-2
a cheese and a Fox,fables-01-3
A fox observed the crow,fables-01-4
"The fox snatched the cheese, said that the crow was able to sing and the fox said that the crow needed wits.",fables-01-5
The crow was sitting on a branch of a tree.,fables-01-6
The crow,fables-01-7
The crow was sitting on a branch of a tree.,fables-01-8
of the crow,fables-01-9
A Crow,fables-01-10
A fox,fables-01-11
The fox said that the beauty of the bird was incomparable.,fables-01-12
A fox observed the crow and tried to discover how to get the cheese.,fables-01-13
The fox,fables-01-14
A fox,fables-01-15
"The fox snatched the cheese, said that the crow was able to sing and the fox said that the crow needed wits.",fables-01-16
The crow,fables-01-17
The fox,fables-01-18
The fox said that the hue of the plumage of the bird was exquisite.,fables-01-19
"Coming and standing under the tree he looked up and said, ""What a noble bird I see above me!",fables-01-20
"Coming and standing under the tree he looked up and said, ""What a noble bird I see above me!",fables-01-21
The fox said that the hue of the plumage of the bird was exquisite.,fables-01-22
a cheese and a Fox,fables-01-23
A Lion,fables-02-1
"The Bull was foolish enough to be persuaded by this flattery to have his horns cut off; and, having now lost his only means of defense, fell an easy prey to the Lion.",fables-02-2
There once was a fat bull.,fables-02-3
a bull and a lion and a horn,fables-02-4
A lion,fables-02-5
The lion walked toward the bull and began to feign that the lion was friendly.,fables-02-6
a Bull,fables-02-7
a Bull,fables-02-8
A lion watched the bull and salivated because the lion wanted to eat the bull.,fables-02-9
The lion didn't attack the bull because the lion feared sharp every horn of the bull.,fables-02-10
The lion didn't attack the bull because the lion feared sharp every horn of the bull.,fables-02-11
"Hunger, however, presently compelled him to do something: and as the use of force did not promise success, he determined to resort to artifice.",fables-02-12
A lion,fables-02-13
A lion watched the bull and salivated because the lion wanted to eat the bull.,fables-02-14
The lion advised the bull to remove every horn of the bull because every horn of the bull was ugly.,fables-02-15
The lion advised the bull to remove every horn of the bull because every horn of the bull was ugly.,fables-02-16
The lion began to be hungry and decided to attempt to kill the bull.,fables-02-17
a fat bull,fables-02-18
The lion,fables-02-19
A lion watched the bull and salivated because the lion wanted to eat the bull.,fables-02-20
The lion began to be hungry and decided to attempt to kill the bull.,fables-02-21
A lion watched the bull and salivated because the lion wanted to eat the bull.,fables-02-22
The lion,fables-02-23
"A Lion watched a fat Bull feeding in a meadow, and his mouth watered when he thought of the royal feast he would make, but he did not dare to attack him, for he was afraid of his sharp horns.",fables-02-24
"The Bull was foolish enough to be persuaded by this flattery to have his horns cut off; and, having now lost his only means of defense, fell an easy prey to the Lion.",fables-02-25
There once was a fat bull.,fables-02-26
"Hunger, however, presently compelled him to do something: and as the use of force did not promise success, he determined to resort to artifice.",fables-02-27
"The Bull was foolish enough to be persuaded by this flattery to have his horns cut off; and, having now lost his only means of defense, fell an easy prey to the Lion.",fables-02-28
"Hunger, however, presently compelled him to do something: and as the use of force did not promise success, he determined to resort to artifice.",fables-02-29
"Hunger, however, presently compelled him to do something: and as the use of force did not promise success, he determined to resort to artifice.",fables-02-30
A lion,fables-02-31
The lion,fables-02-32
The lion,fables-02-33
The bull was grazing in a meadow.,fables-02-34
The bull,fables-02-35
The bull,fables-02-36
by the gate of a farmyard,fables-07-1
A wolf,fables-07-2
a dog and a farmyard and a wolf,fables-07-3
The dog begged the wolf to spare the dog,fables-07-4
A Dog,fables-07-5
in the sun before a farmyard gate,fables-07-6
The Wolf,fables-07-7
to the farmyard,fables-07-8
The wolf didn't reach the dog because the dog lied down on the roof of a stable.,fables-07-9
A Dog,fables-07-10
"I'm looking around corners, checking the toilet before sitting down, wondering when it's going to jump out.",blogs-07-1
"Since I'm such a bugaphobe, I grabbed the closest object within reach, and with a rolled-up comic book I smote mine enemies and smeared their greasy bug guts.",blogs-07-2
"Since I'm such a bugaphobe, I grabbed the closest object within reach, and with a rolled-up comic book I smote mine enemies and smeared their greasy bug guts.",blogs-07-3
A group of bugs entered the apartment of the narrator.,blogs-07-4
A narrator recently and momentarily opened the door of the patio of the narrator.,blogs-07-5
